color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,sentiment
Color,Marc Webb,599,153,464,963,Andrew Garfield,15000,262030663,Action|Adventure|Fantasy,Emma Stone,The Amazing Spider-Man ,451803,28489,Chris Zylka,0,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,English,USA,PG-13,230000000,2012,10000,7.0,2.35,56000,0.072800462602663
Color,Ridley Scott,343,156,0,738,William Hurt,891,105219735,Action|Adventure|Drama|History,Mark Addy,Robin Hood ,211765,3244,Scott Grimes,0,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,English,USA,PG-13,200000000,2010,882,6.7,2.35,17000,0.002412280701754386
Color,Peter Jackson,446,201,0,84,Thomas Kretschmann,6000,218051260,Action|Adventure|Drama|Romance,Naomi Watts,King Kong ,316018,7123,Evan Parke,0,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,English,New Zealand,PG-13,207000000,2005,919,7.2,2.35,0,0.08718722010747873
Color,James Cameron,315,194,0,794,Kate Winslet,29000,658672302,Drama|Romance,Leonardo DiCaprio,Titanic ,793059,45223,Gloria Stuart,0,artist|love|ship|titanic|wet,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,English,USA,PG-13,200000000,1997,14000,7.7,2.35,26000,0.0504937018999519
Color,Peter Berg,377,131,532,627,Alexander Skarsgård,14000,65173160,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,Battleship ,202382,26679,Tadanobu Asano,0,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,English,USA,PG-13,209000000,2012,10000,5.9,2.35,44000,0.024890350877192987
Color,Sam Raimi,300,135,0,4000,James Franco,24000,373377893,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man 2 ,411164,43388,Kirsten Dunst,1,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,English,USA,PG-13,200000000,2004,11000,7.3,2.35,0,0.042013888888888885
Color,Tim Burton,451,108,13000,11000,Alan Rickman,40000,334185206,Adventure|Family|Fantasy,Johnny Depp,Alice in Wonderland ,306320,79957,Anne Hathaway,0,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,English,USA,PG,200000000,2010,25000,6.5,1.85,24000,0.056420454545454544
Color,Michael Bay,366,150,0,464,Kevin Dunn,894,402076689,Action|Adventure|Sci-Fi,Glenn Morshower,Transformers: Revenge of the Fallen ,323207,3218,Ramon Rodriguez,0,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,English,USA,PG-13,200000000,2009,581,6.0,2.35,0,0.07821160321160321
Color,Joseph Kosinski,469,125,364,1000,Olivia Wilde,12000,172051787,Action|Adventure|Sci-Fi,Jeff Bridges,TRON: Legacy ,264183,25550,James Frain,0,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,English,USA,PG,170000000,2010,10000,6.8,2.35,30000,0.06614026364026364
Color,John Lasseter,304,106,487,776,Thomas Kretschmann,1000,191450875,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Cars 2 ,101178,4482,Eddie Izzard,0,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,English,USA,G,200000000,2011,919,6.3,2.35,10000,0.03453125
Color,Martin Campbell,436,123,258,326,Temuera Morrison,16000,116593191,Action|Adventure|Sci-Fi,Ryan Reynolds,Green Lantern ,223393,17657,Taika Waititi,2,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,English,USA,PG-13,200000000,2011,368,5.6,2.35,24000,0.08101388888888889
Color,Lee Unkrich,453,103,125,721,John Ratzenberger,15000,414984497,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Toy Story 3 ,544884,19085,Don Rickles,3,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,English,USA,G,200000000,2010,1000,8.3,1.85,30000,0.01965811965811966
Color,McG,422,118,368,988,Bryce Dallas Howard,23000,125320003,Action|Adventure|Sci-Fi,Christian Bale,Terminator Salvation ,286095,27468,Common,0,death row|future|machine|rescue|skynet,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,English,USA,PG-13,200000000,2009,3000,6.6,2.35,0,0.062424242424242424
Color,Marc Forster,654,123,395,1000,Brad Pitt,17000,202351611,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,World War Z ,465019,32392,Mireille Enos,0,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,English,USA,PG-13,190000000,2013,11000,7.0,2.35,129000,-0.06315789473684212
Color,J.J. Abrams,590,132,14000,928,Bruce Greenwood,19000,228756232,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Star Trek Into Darkness ,395573,21411,Noel Clarke,0,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,190000000,2013,981,7.8,2.35,92000,0.14363368055555553
Color,Steven Spielberg,470,122,14000,1000,Ray Winstone,11000,317011114,Action|Adventure|Fantasy,Harrison Ford,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,Jim Broadbent,2,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,English,USA,PG-13,185000000,2008,1000,6.2,2.35,5000,0.05420454545454545
Color,Mark Andrews,488,93,56,838,John Ratzenberger,2000,237282182,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Brave ,273556,5005,Julie Walters,0,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,English,USA,PG,185000000,2012,1000,7.2,2.35,39000,-0.010232103567499613
Color,Brett Ratner,162,91,420,173,Dana Ivey,268,140080850,Action|Comedy|Crime|Thriller,Tzi Ma,Rush Hour 3 ,121084,1125,Noémie Lenoir,2,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,English,USA,PG-13,140000000,2007,268,6.2,2.35,0,0.09608086895743147
Color,Roland Emmerich,367,158,776,310,Liam James,1000,166112167,Action|Adventure|Sci-Fi,Oliver Platt,2012 ,283418,2144,Tom McCarthy,0,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,200000000,2009,468,5.8,2.35,13000,0.03172213203463203
Color,Robert Zemeckis,240,96,0,10000,Colin Firth,18000,137850096,Animation|Drama|Family|Fantasy,Robin Wright,A Christmas Carol ,72809,48878,Gary Oldman,0,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,English,USA,PG,200000000,2009,14000,6.8,2.35,0,0.0589586335099395
Color,Lana Wachowski,384,127,0,13000,Mila Kunis,17000,47375327,Action|Adventure|Sci-Fi,Channing Tatum,Jupiter Ascending ,139593,47334,Eddie Redmayne,1,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,English,USA,PG-13,176000000,2015,15000,5.4,2.35,44000,0.04423127377672832
Color,Pete Docter,408,96,0,262,Delroy Lindo,1000,292979556,Adventure|Animation|Comedy|Family,John Ratzenberger,Up ,665575,2635,Jess Harnell,1,balloon|house|promise|retirement|skeleton,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,English,USA,PG,175000000,2009,848,8.3,1.85,27000,0.03834885638214442
Color,Jon Favreau,486,126,4000,4000,Jeff Bridges,21000,318298180,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man ,696338,39252,Jon Favreau,3,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,English,USA,PG-13,140000000,2008,12000,7.9,2.35,10000,0.12708333333333333
Color,Martin Scorsese,682,126,17000,1000,Christopher Lee,17000,73820094,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Hugo ,245333,36017,Ray Winstone,0,automaton|mechanical|railway station|steampunk|train,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,English,USA,PG,170000000,2011,16000,7.5,1.85,42000,0.053833897583897575
Color,Barry Sonnenfeld,85,106,188,582,Salma Hayek,10000,113745408,Action|Comedy|Sci-Fi|Western,Will Smith,Wild Wild West ,129601,15870,Bai Ling,2,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,English,USA,PG-13,170000000,1999,4000,4.8,1.85,0,0.06821046531502506
Color,Tom Shadyac,186,96,293,7000,Morgan Freeman,87000,100289690,Comedy|Family|Fantasy,Jimmy Bennett,Evan Almighty ,115099,108016,Steve Carell,0,ark|change|congressman|depiction of god|flood,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,English,USA,PG,175000000,2007,11000,5.4,2.35,2000,0.1559352568727569
Color,Kevin Reynolds,91,176,58,60,Rick Aviles,711,88246220,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Waterworld ,144337,1004,Zakes Mokae,0,future|sail|sea|smoker|water,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,English,USA,PG-13,175000000,1995,60,6.1,1.85,0,0.05876183806856075
Color,Pete Docter,536,95,0,384,Mindy Kaling,1000,356454367,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Inside Out ,345198,2944,Phyllis Smith,1,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,English,USA,PG,175000000,2015,767,8.3,1.85,118000,0.06078030303030304
Color,Jon Favreau,453,124,4000,4000,Scarlett Johansson,21000,312057433,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,English,USA,PG-13,200000000,2010,19000,7.0,2.35,18000,0.04488668194550547
Color,Rupert Sanders,416,132,274,11000,Kristen Stewart,26000,155111815,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Snow White and the Huntsman ,228554,72881,Sam Claflin,0,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,English,USA,PG-13,170000000,2012,17000,6.1,2.35,53000,-0.05139802631578947
Color,Robert Stromberg,401,97,171,846,Sharlto Copley,11000,241407328,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Maleficent ,252257,15516,Sam Riley,2,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,English,USA,PG,180000000,2014,2000,7.0,2.35,89000,0.04772390980018099
Color,Carl Rinsch,218,128,47,982,Cary-Hiroyuki Tagawa,18000,38297305,Action|Adventure|Drama|Fantasy,Keanu Reeves,47 Ronin ,116994,20965,Jin Akanishi,2,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,English,USA,PG-13,175000000,2013,1000,6.3,2.35,35000,0.002824074074074075
Color,Rich Moore,377,101,66,833,Sarah Silverman,975,189412677,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Wreck-It Ralph ,272534,4451,Joe Lo Truglio,1,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,English,USA,PG,165000000,2012,931,7.8,2.35,40000,0.06315789473684211
Color,Robert Zemeckis,188,100,0,267,Eddie Deezen,15000,665426,Adventure|Animation|Family|Fantasy,Tom Hanks,The Polar Express ,120798,16264,Peter Scolari,0,boy|christmas|christmas eve|north pole|train,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,English,USA,G,165000000,2004,726,6.6,2.35,10000,0.014583333333333328
Color,David Fincher,362,166,21000,919,Jason Flemyng,11000,127490802,Drama|Fantasy|Romance,Brad Pitt,The Curious Case of Benjamin Button ,459346,13333,Julia Ormond,2,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,English,USA,PG-13,150000000,2008,1000,7.8,2.35,23000,-0.008181818181818182
Color,Matthew Vaughn,500,132,905,1000,Michael Fassbender,34000,146405371,Action|Adventure|Sci-Fi,Jennifer Lawrence,X-Men: First Class ,518537,50983,Oliver Platt,3,cia|cia agent|mutant|nuclear war|professor,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,English,USA,PG-13,160000000,2011,13000,7.8,2.35,54000,0.1087406015037594
Color,Jon Turteltaub,235,109,226,370,Omar Benson Miller,12000,63143812,Action|Adventure|Family|Fantasy,Nicolas Cage,The Sorcerer's Apprentice ,124185,13388,Robert Capron,0,chosen one|enchanted object|love|spell|training,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,English,USA,PG,150000000,2010,418,6.1,2.35,11000,0.0986161616161616
Color,Wolfgang Petersen,231,98,249,702,Mike Vogel,87000,60655503,Action|Adventure|Drama|Thriller,Jimmy Bennett,Poseidon ,82380,92456,Andre Braugher,0,cruise|escape|ocean|passenger|water,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,English,USA,PG-13,160000000,2006,2000,5.6,2.35,0,0.09375
Color,Michael Bay,396,144,0,581,Michael O'Neill,662,318759914,Action|Adventure|Sci-Fi,Zack Ward,Transformers ,513158,2333,Kevin Dunn,0,alien contact|autobot|decepticon|robot vs. robot|teenage hero,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,English,USA,PG-13,150000000,2007,599,7.1,2.35,8000,0.07245350328683661
Color,Oliver Stone,248,206,0,591,Angelina Jolie Pitt,12000,34293771,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Alexander ,138863,24598,Brian Blessed,3,ancient greece|conquest|greek|greek myth|king,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,English,Germany,R,155000000,2004,11000,5.5,2.35,0,0.05266122766122767
Color,Peter Berg,318,102,532,979,Charlize Theron,10000,227946274,Action|Drama,Will Smith,Hancock ,343648,21584,Eddie Marsan,0,bully comeuppance|destruction|prison|superhero|tough girl,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,English,USA,PG-13,150000000,2008,9000,6.4,2.35,0,0.09934659090909093
Color,Francis Lawrence,323,104,508,558,Alice Braga,10000,256386216,Drama|Horror|Sci-Fi,Will Smith,I Am Legend ,530870,13076,Willow Smith,0,new york city|pandemic|post apocalypse|survivalist|virus,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,English,USA,PG-13,150000000,2007,1000,7.2,2.35,11000,0.07136837121212121
Color,Tim Burton,276,115,13000,588,Christopher Lee,40000,206456431,Adventure|Comedy|Family|Fantasy,Johnny Depp,Charlie and the Chocolate Factory ,320284,57844,David Kelly,3,chocolate|diminution|miniaturization|physical flexability|ticket,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,English,USA,PG,150000000,2005,16000,6.7,1.85,0,0.1417857142857143
Color,Brad Bird,318,111,663,954,John Ratzenberger,1000,206435493,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Ratatouille ,473887,4764,Brian Dennehy,0,chef|food|french|rat|restaurant,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,English,USA,G,150000000,2007,1000,8.0,2.35,10000,0.020238095238095236
Color,Christopher Nolan,478,128,22000,11000,Liam Neeson,23000,205343774,Action|Adventure,Christian Bale,Batman Begins ,980946,59558,Morgan Freeman,0,armored car|gangster|gotham|mixed martial arts|social decay,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,English,USA,PG-13,150000000,2005,14000,8.3,2.35,15000,-0.024445346320346322
Color,Gavin Hood,350,119,151,2000,Ryan Reynolds,20000,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men Origins: Wolverine ,361924,40054,Dominic Monaghan,0,army|civil war|claw fight|commando|wolverine the character,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,English,USA,PG-13,150000000,2009,16000,6.7,2.35,0,0.057499999999999996
Color,Alan Taylor,486,112,230,12000,Natalie Portman,26000,206360018,Action|Adventure|Fantasy,Chris Hemsworth,Thor: The Dark World ,414070,59803,Anthony Hopkins,3,arrest|portal|thor|warrior|weapon,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,English,USA,PG-13,170000000,2013,20000,7.1,2.35,63000,-0.006934523809523795
Color,Ron Howard,298,146,2000,294,Ayelet Zurer,15000,133375846,Mystery|Thriller,Tom Hanks,Angels & Demons ,207839,16948,Armin Mueller-Stahl,2,conclave|illuminati|murder|reference to bernini|reference to raphael,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435,English,USA,PG-13,150000000,2009,745,6.7,2.35,0,0.16748917748917747
Color,Kenneth Branagh,516,115,0,12000,Natalie Portman,26000,181015141,Action|Adventure|Fantasy,Chris Hemsworth,Thor ,536314,60059,Anthony Hopkins,1,battle|marvel cinematic universe|scientist|thor|throne,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738,English,USA,PG-13,150000000,2011,20000,7.0,2.35,63000,-0.021052631578947364
Color,Hoyt Yeatman,145,88,12,182,Piper Mackenzie Harris,730,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,G-Force ,33042,2217,Niecy Nash,0,fbi director|guinea pig|household appliance|secret agent|talking mouse,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90,English,USA,PG,150000000,2009,607,5.1,2.35,0,0.07071411957925115
Color,Jonathan Liebesman,310,99,473,502,Edgar Ramírez,14000,83640426,Action|Adventure|Fantasy,Liam Neeson,Wrath of the Titans ,152826,16184,Lily James,0,ares|hades|titan|underworld|zeus,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253,English,USA,PG-13,150000000,2012,897,5.8,1.85,19000,0.0858518387558622
Color,Tim Burton,526,113,13000,16000,Chloë Grace Moretz,40000,79711678,Comedy|Fantasy|Horror,Johnny Depp,Dark Shadows ,199039,80849,Christopher Lee,7,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,English,USA,PG-13,100000000,2012,17000,6.2,1.85,82000,0.016091750841750845
Color,Joe Johnston,357,119,394,162,Simon Merrells,12000,61937495,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,The Wolfman ,89442,13071,Art Malik,0,asylum|death|full moon|transformation|werewolf,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,432,English,USA,R,150000000,2010,490,5.8,1.85,0,0.02922619047619048
Color,Steve Hickner,194,91,58,826,Oprah Winfrey,2000,126597121,Adventure|Animation|Comedy|Family,Matthew Broderick,Bee Movie ,105902,6576,Rip Torn,0,bee|dream sequence|egg|scatological humor|squashed bug,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,206,English,USA,PG,150000000,2007,852,6.2,1.85,0,0.04005402236652236
Color,Jennifer Yuh Nelson,284,90,90,15,Gary Oldman,11000,165230261,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Panda 2 ,182718,21015,Mike Bell,0,china|kung fu|panda|peacock|tigress,http://www.imdb.com/title/tt1302011/?ref_=fn_tt_tt_1,209,English,USA,PG,150000000,2011,10000,7.3,2.35,20000,0.05625
Color,M. Night Shyamalan,280,103,0,346,Noah Ringer,1000,131564731,Action|Adventure|Family|Fantasy,Seychelle Gabriel,The Last Airbender ,118951,2857,Aasif Mandvi,0,avatar|fire|kingdom|tribe|water,http://www.imdb.com/title/tt0938283/?ref_=fn_tt_tt_1,1382,English,USA,PG,150000000,2010,756,4.2,2.35,18000,0.09115572390572386
Color,David Bowers,135,85,42,586,Kate Winslet,20000,64459316,Adventure|Animation|Comedy|Family,Hugh Jackman,Flushed Away ,85086,35161,David Suchet,0,boat|frog|rat|sewer|toad,http://www.imdb.com/title/tt0424095/?ref_=fn_tt_tt_1,122,English,UK,PG,149000000,2006,14000,6.7,1.85,0,0.058449714714873285
Color,Wolfgang Petersen,220,196,249,844,Orlando Bloom,11000,133228348,Adventure,Brad Pitt,Troy ,381672,17944,Julian Glover,2,greek|mythology|prince|trojan|troy,http://www.imdb.com/title/tt0332452/?ref_=fn_tt_tt_1,1694,English,USA,R,175000000,2004,5000,7.2,2.35,0,0.09472222222222222
Color,Michael Bay,167,153,0,537,Steve Buscemi,13000,201573391,Action|Adventure|Sci-Fi|Thriller,Bruce Willis,Armageddon ,322395,26029,Will Patton,0,asteroid|astronaut|bomb|meteorite|outer space,http://www.imdb.com/title/tt0120591/?ref_=fn_tt_tt_1,1171,English,USA,PG-13,140000000,1998,12000,6.6,2.35,11000,0.0687465564738292
Color,Barry Sonnenfeld,208,88,188,826,Rosario Dawson,10000,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Will Smith,Men in Black II ,270207,14823,Rip Torn,2,alien|lingerie|lingerie model|m.i.b.|pug,http://www.imdb.com/title/tt0120912/?ref_=fn_tt_tt_1,606,English,USA,PG-13,140000000,2002,3000,6.1,1.85,2000,0.06486742424242424
Color,Robert Zemeckis,287,115,0,964,Anthony Hopkins,18000,82161969,Action|Adventure|Animation|Fantasy,Robin Wright,Beowulf ,142440,31523,Sebastian Roché,1,creature|demon|king|reward|warrior,http://www.imdb.com/title/tt0442933/?ref_=fn_tt_tt_1,505,English,USA,PG-13,150000000,2007,12000,6.3,2.35,3000,0.11494904401154403
Color,Edward Zwick,190,154,380,445,Tony Goldwyn,10000,111110575,Action|Drama|History|War,Tom Cruise,The Last Samurai ,317166,11945,Chad Lindberg,1,captain|emperor|honor|japan|samurai,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,928,English,USA,R,140000000,2003,956,7.7,2.35,0,0.049537037037037046
Color,J.J. Abrams,518,127,14000,981,Leonard Nimoy,26000,257704099,Action|Adventure|Sci-Fi,Chris Hemsworth,Star Trek ,504419,39284,Bruce Greenwood,0,box office hit|future|lifted by the throat|star trek|vulcan,http://www.imdb.com/title/tt0796366/?ref_=fn_tt_tt_1,1559,English,USA,PG-13,150000000,2009,12000,8.0,2.35,19000,0.022892001495834445
Color,Sam Raimi,291,121,0,4000,James Franco,24000,403706375,Action|Adventure|Fantasy|Romance,J.K. Simmons,Spider-Man ,544665,40484,Kirsten Dunst,0,evil|goblin|spider|spider man|superhero,http://www.imdb.com/title/tt0145487/?ref_=fn_tt_tt_1,2012,English,USA,PG-13,139000000,2002,11000,7.3,1.85,5000,0.07214912280701753
